370 115.2 6
371 115.2 18
372 115.2 30
373 115.2 42
374 115.2 54
375 115.2 66
376 115.2 78
377 115.2 90
378 115.2 102
379 115.2 114
380 115.2 126
381 115.2 138
382 115.2 150
383 115.2 162
384 115.2 174
385 115.2 186
386 115.2 198
387 115.2 210
388 115.2 222
389 115.2 234
390 115.2 246
391 115.2 258
392 115.2 270
393 115.2 282
394 115.2 294
395 115.2 306
396 115.2 318
397 115.2 330
398 115.2 342
399 115.2 354
400 123.6 0
401 123.6 12
402 123.6 24
403 123.6 36
404 123.6 48
405 123.6 60
406 123.6 72
407 123.6 84
408 123.6 96
409 123.6 108
410 123.6 120
411 123.6 132
412 123.6 144
413 123.6 156
414 123.6 168
415 123.6 180
416 123.6 192
417 123.6 204
418 123.6 216
419 123.6 228
420 123.6 240
421 123.6 252
422 123.6 264
423 123.6 276
424 123.6 288
425 123.6 300
426 123.6 312
427 123.6 324
428 123.6 336
429 123.6 348
430 131.8 6
431 131.8 18
432 131.8 30
433 131.8 42
434 131.8 54
435 131.8 66
436 131.8 78
437 131.8 90
438 131.8 102
439 131.8 114
440 131.8 126
441 131.8 138
442 131.8 150
443 131.8 162
444 131.8 174
445 131.8 186
446 131.8 198
447 131.8 210
448 131.8 222
449 131.8 234
450 131.8 246
451 131.8 258
452 131.8 270
453 131.8 282
454 131.8 294
455 131.8 306
456 131.8 318
457 131.8 330
458 131.8 342
459 131.8 354
460 139.8 6
461 139.8 18
462 139.8 30
463 139.8 42
464 139.8 54
465 139.8 66
466 139.8 78
467 139.8 90
468 139.8 102
469 139.8 114
470 139.8 126
471 139.8 138
472 139.8 150
473 139.8 162
474 139.8 174
475 139.8 186
476 139.8 198
477 139.8 210
478 139.8 222
479 139.8 234
480 139.8 246
481 139.8 258
482 139.8 270
483 139.8 282
484 139.8 294
485 139.8 306
486 139.8 318
487 139.8 330
488 139.8 342
489 139.8 354
490 147.6 6
491 147.6 18
492 147.6 30
493 147.6 42
494 147.6 54
495 147.6 66
496 147.6 78
497 147.6 90
498 147.6 102
499 147.6 114
500 147.6 126
501 147.6 138
502 147.6 150
503 147.6 162
504 147.6 174
505 147.6 186
506 147.6 198
507 147.6 210
508 147.6 222
509 147.6 234
510 147.6 246
511 147.6 258
512 147.6 270
513 147.6 282
514 147.6 294
515 147.6 306
516 147.6 318
517 147.6 330
518 147.6 342
519 147.6 354
520 155.2 6
521 155.2 18
522 155.2 30
523 155.2 42
524 155.2 54
525 155.2 66
526 155.2 78
527 155.2 90
528 155.2 102
529 155.2 114
530 155.2 126
531 155.2 138
532 155.2 150
533 155.2 162
534 155.2 174
535 155.2 186
536 155.2 198
537 155.2 210
538 155.2 222
539 155.2 234
540 155.2 246
541 155.2 258
542 155.2 270
543 155.2 282
544 155.2 294
545 155.2 306
546 155.2 318
547 155.2 330
548 155.2 342
549 155.2 354
550 162.2 12
551 162.2 30
552 162.2 48
553 162.2 66
554 162.2 84
555 162.2 102
556 162.2 120
557 162.2 138
558 162.2 156
559 162.2 174
560 162.2 192
561 162.2 210
562 162.2 228
563 162.2 246
564 162.2 264
565 162.2 282
566 162.2 300
567 162.2 318
568 162.2 336
569 162.2 354
570 168.4 6
571 168.4 30
572 168.4 54
573 168.4 78
574 168.4 102
575 168.4 126
576 168.4 150
577 168.4 174
578 168.4 198
579 168.4 222
580 168.4 246
581 168.4 270
582 168.4 294
583 168.4 318
584 168.4 342
585 174.4 54
586 174.4 126
587 174.4 198
588 174.4 270
589 174.4 342
